animal	day	protein	iga	percent
F008	148	335000	42567.83	12.70681493
F008	149	448000	56678.748	12.65150625
F008	150	340000	52212.089	15.35649676
M001	0	129000	1035.594	0.802786047
M001	1	119000	113.607	0.095468067
M001	2	115000	460.151	0.400131304
M001	3	363000	290.958	0.080153719
M001	4	110000	434.399	0.394908182
M001	5	49000	371.21	0.757571429
M001	6	54000	266.34	0.493222222
M001	7	75000	1072.054	1.429405333
M001	8	230000	1888.257	0.820981304
M001	9	457000	2987.939	0.653815974
M001	10	306000	5797.116	1.894482353
M001	11	96000	13709.442	14.28066875
M001	12	323000	37668.399	11.66204303
M001	13	294000	26411.589	8.983533673
M001	14	1417000	110796.815	7.819111856
M001	15	63000	40387.224	64.10670476
M001	16	520000	96906.109	18.63579019
M001	17	314000	98250.397	31.28993535
M001	19	194000	53030.927	27.33552938
M001	21	165000	72907.68	44.18647273
M001	23	108000	43832.859	40.58598056
M001	25	32000	57621.68	180.06775
M001	141	355000	75678.761	21.31796085
M001	142	193000	61266.489	31.74429482
M001	143	157000	84782.804	54.00178599
M001	144	194000	61281.048	31.58816907
M001	145	257000	91366.158	35.55103424
M001	146	190000	75566.722	39.77195895
M001	147	204000	109651.077	53.75052794
M001	148	157000	88429.412	56.32446624
M001	149	412000	78579.312	19.07264854
M001	150	226000	83002.357	36.72670664
M002	0	0	1335.807	NA
M002	1	113000	1235.107	1.093015044
M002	2	42000	304.884	0.725914286
M002	3	81000	1938.112	2.392730864
M002	4	119000	2375.244	1.996003361
M002	5	57000	2737.032	4.801810526
M002	6	99000	2081.861	2.102889899
M002	7	59000	4040.1	6.847627119
M002	8	165000	5569.052	3.37518303
M002	9	248000	5997.137	2.418200403
M002	11	56000	5422.52	9.683071429
M002	13	80000	12304.148	15.380185
M002	15	130000	31196.241	23.99710846
M002	17	195000	34274.983	17.57691436
M002	19	541000	51608.709	9.539502588
M002	21	82000	25230.468	30.76886341
M002	23	77000	61731.561	80.17085844
M002	25	164000	104206.952	63.54082439
M002	141	217000	103428.609	47.66295346
M002	142	92000	58295.683	63.36487283
M002	143	532000	64513.519	12.12660132
M002	144	219000	33023.145	15.07906164
M002	145	467000	75379.461	16.14121221
M002	146	501000	62907.063	12.5563
M002	147	463000	51783.688	11.18438186
M002	148	287000	57072.691	19.88595505
M002	149	436000	58303.182	13.37228945
M002	150	403000	54550.849	13.53619082
M003	0	139000	2377.172	1.710195683
M003	1	180000	27.519	0.015288333
M003	2	132000	120.392	0.091206061
M003	3	285000	477.433	0.167520351
M003	4	204000	1562.677	0.766018137
M003	5	360000	1120.118	0.311143889
M003	6	175000	2149.633	1.228361714
M003	7	237000	5584.677	2.356403797
M003	8	425000	13079.385	3.077502353
M003	9	256000	13231.019	5.168366797
M003	10	NA	8559.235	NA
M003	11	267000	41394.664	15.50361948
M003	12	371000	13239.924	3.568712668
M003	13	315000	70013.058	22.22636762
M003	14	207000	24317.916	11.74778551
M003	15	492000	41369.6	8.408455285
M003	16	418000	57873.915	13.84543421
M003	17	172000	63529.545	36.93578198
M003	18	511000	53036.963	10.37905342
M003	19	169000	28959.191	17.13561598
M003	20	242000	29998.617	12.39612273
M003	21	268000	45505.871	16.97980261
M003	22	475000	39136.035	8.239165263
M003	23	254000	47576.204	18.73078898
M003	24	431000	40139.282	9.313058469
M003	25	164000	26402.267	16.09894329
M003	141	316000	55956.785	17.70784335
M003	142	158000	44336.654	28.06117342
M003	143	215000	63958.271	29.74803302
M003	144	198000	44312.538	22.3800697
M003	145	197000	51368.814	26.0755401
M003	146	202000	44275.124	21.91837822
M003	147	349000	54492.672	15.61394613
M003	148	252000	47304.47	18.77161508
M003	149	690000	105620.704	15.30734841
M003	150	255000	70111.921	27.49487098
M004	0	225000	2735.428	1.215745778
M004	1	387000	264.146	0.06825478
M004	2	532000	356.406	0.066993609
M004	3	442000	579.142	0.131027602
M004	4	706000	1774.749	0.251380878
M004	5	1211000	968.793	0.079999422
M004	6	382000	1922.984	0.503398953
M004	7	420000	5815.427	1.384625476
M004	8	904000	11030.91	1.220233407
M004	9	703000	17807.604	2.53308734
M004	10	906000	35216.561	3.887037638
M004	11	1287000	68956.655	5.357937451
M004	12	319000	17425.871	5.462655486
M004	13	645000	41042.185	6.363129457
M004	14	442000	26867.031	6.078513801
M004	15	980000	49204.776	5.02089551
M004	16	532000	67323.944	12.65487669
M004	17	296000	83349.005	28.15844764
M004	18	425000	40866.606	9.615672
M004	19	425000	93539.578	22.00931247
M004	20	263000	48861.84	18.57864639
M004	21	1005000	75608.696	7.523253333
M004	22	445000	52068.8	11.70085393
M004	23	551000	75763.796	13.75023521
M004	24	579000	47845.419	8.263457513
M004	25	722000	125615.8	17.39831025
M004	141	764000	59468.003	7.783770026
M004	142	466000	93642.783	20.09501781
M004	143	497000	51309.063	10.32375513
M004	144	674000	60352.77	8.954416914
M004	145	574000	65945.483	11.4887601
M004	146	717000	104754.189	14.6100682
M004	147	452000	75880.687	16.78776261
M004	148	1417000	91684.433	6.470319901
M004	149	539000	89297.237	16.56720538
M004	150	734000	95819.317	13.05440286
M005	0	109000	1714.786	1.573198165
M005	1	113000	116.239	0.102866372
M005	2	192000	127.127	0.066211979
M005	3	170000	287.905	0.169355882
M005	4	165000	233.923	0.141771515
M005	5	90000	192.696	0.214106667
M005	6	135000	273.012	0.202231111
M005	7	174000	1216.863	0.699346552
M005	8	279000	2030.8	0.727885305
M005	9	104000	3855.617	3.707324038
M005	10	362000	10795.072	2.982064088
M005	11	142000	22400.154	15.77475634
M005	12	368000	22236.731	6.042589946
M005	13	310000	49884.885	16.09189839
M005	14	288000	22382.396	7.771665278
M005	15	239000	23601.644	9.875164854
M005	16	333000	52122.824	15.6524997
M005	17	99000	32785.866	33.11703636
M005	18	398000	63366.27	15.92117337
M005	19	162000	44762.093	27.6309216
M005	20	862000	104652.261	12.14063353
M005	21	343000	52980.105	15.44609475
M005	22	532000	54040.839	10.15805244
M005	23	217000	70042.952	32.27785806
M005	24	702000	89919.824	12.80909174
M005	25	181000	29838.274	16.48523425
M005	141	311000	60730.43	19.52746945
M005	142	247000	49915.113	20.20854777
M005	143	918000	44522.165	4.849909041
M005	144	15974000	49884.561	0.312285971
M005	145	274000	40720.233	14.86139891
M005	146	338000	37821.533	11.18980266
M005	147	156000	40849.675	26.1856891
M005	148	16712000	31613.88	0.189168741
M005	149	248000	36475.485	14.70785685
M005	150	220000	29398.729	13.36305864
M006	0	77000	1890.901	2.455715584
M006	1	17000	0	0
M006	2	71000	38.897	0.054784507
M006	3	66000	260.627	0.394889394
M006	4	180000	406.403	0.225779444
M006	5	167000	479.113	0.286894012
M006	6	196000	729.575	0.372232143
M006	7	40000	2610.053	6.5251325
M006	8	585000	6349.722	1.085422564
M006	9	111000	4890.216	4.4056
M006	10	437000	31831.651	7.284130664
M006	11	893000	37317.33	4.17887234
M006	12	624000	41240.411	6.609040224
M006	13	158000	31289.198	19.80328987
M006	14	386000	34157.457	8.849082124
M006	15	189000	17298.736	9.15277037
M006	16	467000	39694.71	8.499937901
M006	17	158000	38135.091	24.13613354
M006	18	518000	115529.43	22.30297876
M006	19	139000	28957.62	20.83282014
M006	20	382000	71077.673	18.60672068
M006	21	254000	57769.406	22.74386063
M006	22	564000	124520.981	22.07818812
M006	23	270000	55694.762	20.62768963
M006	24	557000	106433.34	19.10831957
M006	25	126000	35554.982	28.21823968
M006	141	155000	45418.455	29.30222903
M006	142	312000	69814.375	22.37640224
M006	143	276000	85036.465	30.81031341
M006	144	941000	76341.775	8.11283475
M006	145	480000	53409.188	11.12691417
M006	146	1022000	79775.519	7.805823777
M006	147	486000	42678.157	8.781513786
M006	148	417000	36218.87	8.685580336
M006	149	376000	32096.509	8.536305585
M006	150	510000	70022.316	13.72986588
